word,transcription,index,long
acrobates,a.k.ʁ.ɔ.b.a.t,1,0
acrobates,a.k.ʁ.ɔ.b.a.t,6,0
acte,a.k.t.ə,1,0
acte,a.k.t,1,0
acte,n.a.k.t,2,0
actes,a.k.t,1,0
acteur,a.k.t.œ.ʁ,1,0
acteurs,z.a.k.t.œ.ʁ,2,0
acteurs,a.k.t.œ.ʁ,1,0
actif,n.a.k.t.i.f,2,0
actif,a.k.t.i.f,1,0
actiforme,a.k.t.i.f.ɔ.ʁ.m,1,0
actifs,a.k.t.i.f,1,0
actifs,z.a.k.t.i.f,2,0
action,a.k.s.j.ɔ̃,1,0
actions,a.k.s.j.ɔ̃,1,0
actions,a.k.t.j.ɔ̃,1,0
actions,z.a.k.t.j.ɔ̃,2,0
active,a.k.t.i.v,1,0
activement,a.k.t.i.v.m.ɑ̃,1,0
actives,a.k.t.i.v,1,0
activité,a.k.t.i.v.i.t.e,1,0
activités,a.k.t.i.v.i.t.e,1,0
activités,z.a.k.t.i.v.i.t.e,2,0
activé,a.k.t.i.v.e,1,0
actualiser,z.a.k.t.ɥ.a.l.i.z.e,2,0
actualiser,z.a.k.t.ɥ.a.l.i.z.e,6,0
actualisée,a.k.t.ɥ.a.l.i.z.e,1,0
actualisée,a.k.t.ɥ.a.l.i.z.e,5,0
actualité,a.k.t.ɥ.a.l.i.t.e,1,0
actualité,a.k.t.ɥ.a.l.i.t.e,5,0
actuarielle,a.k.t.y.a.ʁ.j.ɛ.l,1,0
actuarielle,a.k.t.y.a.ʁ.j.ɛ.l,5,0
actuel,a.k.t.ɥ.ɛ.l,1,0
actuelle,a.k.t.ɥ.ɛ.l,1,0
actuellement,a.k.t.ɥ.ɛ.l.m.ɑ̃,1,0
actuellement,t.a.k.t.ɥ.ɛ.l.m.ɑ̃,2,0
actuelles,a.k.t.ɥ.ɛ.l,1,0
actuels,a.k.t.ɥ.ɛ.l,1,0
ad,a.d.e,1,1
adaptation,a.d.a.p.t.a.s.j.ɔ̃,1,0
adaptation,a.d.a.p.t.a.s.j.ɔ̃,3,0
adaptation,a.d.a.p.t.a.s.j.ɔ̃,6,0
adapte,a.d.a.p,1,0
adapte,a.d.a.p,3,0
adapte,a.d.a.p.t,1,0
adapte,a.d.a.p.t,3,0
adapter,a.d.a.p.t.e,1,0
adapter,a.d.a.p.t.e,3,0
adapter,z.a.d.a.p.t.e,2,0
adapter,z.a.d.a.p.t.e,4,0
adapté,a.d.a.p.t.e,1,0
adapté,a.d.a.p.t.e,3,0
adaptée,a.d.a.p.t.e,1,0
adaptée,a.d.a.p.t.e,3,0
adaptées,a.d.a.p.t.e,1,0
adaptées,a.d.a.p.t.e,3,0
adaptés,a.d.a.p.t.e,1,0
adaptés,a.d.a.p.t.e,3,0
additionnel,a.d.i.s.j.o.n.ɛ.l,1,0
additionnel,a.d.i.s.j.ɔ.n.ɛ.l,1,0
additionnelle,a.d.i.s.j.o.n.ɛ.l,1,0
additionnelle,a.d.i.s.j.ɔ.n.ɛ.l,1,0
additionnelles,a.d.i.s.j.ɔ.n.ɛ.l,1,0
additionnels,a.d.i.s.j.ɔ.n.ɛ.l,1,0
additionnels,a.d.i.s.j.o.n.ɛ.l,1,0
additionner,a.d.i.s.j.o.n.e,1,0
adhère,a.d.ɛ.ʁ,1,0
adirondacks,a.d.i.ʁ.ɔ̃.d.a.k,1,0
adirondacks,a.d.i.ʁ.ɔ̃.d.a.k,7,0
adjacentes,a.dʒ.a.s.ɑ̃.t,1,0
adjacentes,a.dʒ.a.s.ɑ̃.t,3,0
adjacents,a.d.ʒ.a.s.ɑ̃,1,0
adjacents,a.d.ʒ.a.s.ɑ̃,4,0
adjoint,a.dʒ.w.ɛ̃,1,0
adjoint,a.d.ʒ.w.ɛ̃,1,0
adjoint,n.a.d.ʒ.w.ɛ̃,2,0
adjointe,a.dʒ.w.ɛ̃.t,1,0
adjointe,a.d.ʒ.w.ɛ̃.t,1,0
adjoints,a.dʒ.w.ɛ̃,1,0
admettons,a.d.m.ɛ.t.ɔ̃,1,0
admettre,a.d.m.ɛ.t,1,0
admettre,t.a.d.m.ɛ.t,2,0
admettre,a.d.m.ɛ.t.ʁ,1,0
admettrez,z.a.d.m.ɛ.t.ʁ.e,2,0
administrateur,a.d.m.i.ɲ.i.s.t.ʁ.a.t.œ.ʁ,1,0
administrateur,a.d.m.i.ɲ.i.s.t.ʁ.a.t.œ.ʁ,10,0
administrateurs,a.d.m.i.n.i.s.t.ʁ.a.t.œ.ʁ,1,0
administrateurs,a.d.m.i.n.i.s.t.ʁ.a.t.œ.ʁ,10,0
administratif,a.d.m.i.n.i.s.t.ʁ.a.t.i.f,1,0
administratif,a.d.m.i.n.i.s.t.ʁ.a.t.i.f,10,0
administratif,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.f,1,0
administratif,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.f,10,0
administratifs,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.f,1,0
administratifs,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.f,10,0
administratifs,a.d.m.i.n.i.s.t.ʁ.a.t.i.f,1,0
administratifs,a.d.m.i.n.i.s.t.ʁ.a.t.i.f,10,0
administration,a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,1,0
administration,a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,10,0
administration,a.d.m.i.ɲ.i.s.t.ʁ.a.s.j.ɔ̃,1,0
administration,a.d.m.i.ɲ.i.s.t.ʁ.a.s.j.ɔ̃,10,0
administrations,z.a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,2,0
administrations,z.a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,11,0
administrations,a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,1,0
administrations,a.d.m.i.n.i.s.t.ʁ.a.s.j.ɔ̃,10,0
administrative,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.v,1,0
administrative,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.v,10,0
administrative,a.d.m.i.n.i.s.t.ʁ.a.t.i.v,1,0
administrative,a.d.m.i.n.i.s.t.ʁ.a.t.i.v,10,0
administratives,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.v,1,0
administratives,a.d.m.i.ɲ.i.s.t.ʁ.a.t.i.v,10,0
administratives,a.d.m.i.n.i.s.t.ʁ.a.t.i.v,1,0
administratives,a.d.m.i.n.i.s.t.ʁ.a.t.i.v,10,0
administre,a.d.m.i.n.i.s.t.ʁ,1,0
administrer,a.d.m.i.ɲ.i.s.t.ʁ.e,1,0
administrer,a.d.m.i.n.i.s.t.ʁ.e,1,0
administrées,a.d.m.i.n.i.s.t.ʁ.e,1,0
administrés,a.d.m.i.ɲ.i.s.t.ʁ.e,1,0
admirable,a.d.m.i.ʁ.a.b.l,1,0
admirable,a.d.m.i.ʁ.a.b.l,6,0
admirateurs,a.d.m.i.ʁ.a.t.œ.ʁ,1,0
admirateurs,a.d.m.i.ʁ.a.t.œ.ʁ,6,0
admiration,a.d.m.i.ʁ.a.s.j.ɔ̃,1,0
admiration,a.d.m.i.ʁ.a.s.j.ɔ̃,6,0
admire,a.d.m.i.ʁ,1,0
admises,a.d.m.i.z,1,0
admissibles,a.d.m.i.s.i.b.l,1,0
adolescent,a.d.ɔ.l.ɛ.s.ɑ̃,1,0
adolescents,a.d.ɔ.l.ɛ.s.ɑ̃,1,0
adolescents,a.d.o.l.e.s.ɑ̃,1,0
adonne,a.d.ɔ.n,1,0
