législature,prénom,nom,nom_complet,du,au,parti,circonscription
43,Simon,Allaire,Simon Allaire,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Maskinongé
43,Mathieu,Lemay,Mathieu Lemay,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Masson
43,Pascal,Bérubé,Pascal Bérubé,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PQ,Matane-Matapédia
43,Haroun,Bouazzi,Haroun Bouazzi,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Maurice-Richard
43,François,Jacques,François Jacques,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Mégantic
43,Ruba,Ghazal,Ruba Ghazal,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Mercier
43,Virginie,Dufour,Virginie Dufour,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Mille-Îles
43,Sylvie,D'Amours,Sylvie D'Amours,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Mirabel
43,Michelle,Setlakwe,Michelle Setlakwe,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Mont-Royal–Outremont
43,Nathalie,Roy,Nathalie Roy,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Montarville
43,Jean-François,Simard,Jean-François Simard,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Montmorency
43,Monsef,Derraji,Monsef Derraji,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Nelligan
43,Donald,Martel,Donald Martel,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Nicolet-Bécancour
43,Désirée,McGraw,Désirée McGraw,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Notre-Dame-de-Grâce
43,Gilles,Bélanger,Gilles Bélanger,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Orford
43,Mathieu,Lacombe,Mathieu Lacombe,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Papineau
43,Chantal,Rouleau,Chantal Rouleau,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Pointe-aux-Trembles
43,André,Fortin,André Fortin,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Pontiac
43,Vincent,Caron,Vincent Caron,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Portneuf
43,Sonia,Bélanger,Sonia Bélanger,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Prévost
43,Yves,Montigny,Yves Montigny,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,René-Lévesque
43,Pascale,Déry,Pascale Déry,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Repentigny
43,Jean-Bernard,Émond,Jean-Bernard Émond,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Richelieu
43,André,Bachand,André Bachand,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Richmond
43,Maïté,Blanchette Vézina,Maïté Blanchette Vézina,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Rimouski
43,Amélie,Dionne,Amélie Dionne,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Rivière-du-Loup–Témiscouata
43,Brigitte,Garceau,Brigitte Garceau,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Robert-Baldwin
43,Nancy,Guillemette,Nancy Guillemette,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Roberval
43,Vincent,Marissal,Vincent Marissal,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Rosemont
43,Louis-Charles,Thouin,Louis-Charles Thouin,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Rousseau
43,Daniel,Bernard,Daniel Bernard,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Rouyn-Noranda–Témiscamingue
43,Geneviève,Hébert,Geneviève Hébert,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Saint-François
43,Dominique,Anglade,Dominique Anglade,2022-10-03T00:00:00Z,2022-12-01T00:00:00Z,PLQ,Saint-Henri–Sainte-Anne
43,Guillaume,Cliche-Rivard,Guillaume Cliche-Rivard,2023-03-13T00:00:00Z,2026-10-04T00:00:00Z,QS,Saint-Henri–Sainte-Anne
43,Chantal,Soucy,Chantal Soucy,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Saint-Hyacinthe
43,Louis,Lemieux,Louis Lemieux,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Saint-Jean
43,Youri,Chassin,Youri Chassin,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Saint-Jérôme
43,Marwah,Rizqy,Marwah Rizqy,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,PLQ,Saint-Laurent
43,Manon,Massé,Manon Massé,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Sainte-Marie–Saint-Jacques
43,Christopher,Skeete,Christopher Skeete,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Sainte-Rose
43,Christine,Fréchette,Christine Fréchette,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,CAQ,Sanguinet
43,Christine,Labrie,Christine Labrie,2022-10-03T00:00:00Z,2026-10-04T00:00:00Z,QS,Sherbrooke
