prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Chantal,Rouleau,Chantal Rouleau,f,1959,Repentigny,Lanaudière,Québec
Jean,Rousselle,Jean Rousselle,m,1953,Montréal,Montréal,Québec
Jean-François,Roux,Jean-François Roux,m,1973,Victoriaville,Centre-du-Québec,Québec
Claude,Roy,Claude Roy,m,1952,Montmagny,Chaudière-Appalaches,Québec
Nathalie,Roy,Nathalie Roy,f,1964,New Carlisle,Gaspésie–Îles-de-la-Madeleine,Québec
Suzanne,Roy,Suzanne Roy,f,1962,Sherbrooke,Estrie,Québec
Sylvain,Roy,Sylvain Roy,m,1964,Saint-Jean,,Nouveau-Brunswick
Sylvie,Roy,Sylvie Roy,f,1964,La Tuque,Mauricie,Québec
Monique,Roy Verville,Monique Roy Verville,f,1961,Verdun,Montréal,Québec
Jean-Claude,St-André,Jean-Claude St-André,m,1962,Montréal,Montréal,Québec
Stéphane,Sainte-Croix,Stéphane Sainte-Croix,m,1969,Rimouski,Bas-Saint-Laurent,Québec
Claire,Samson,Claire Samson,f,1955,Montréal,Montréal,Québec
Monique,Sauvé,Monique Sauvé,f,1960,Montréal,Montréal,Québec
Valérie,Schmaltz,Valérie Schmaltz,f,,Strasbourg,,France
Sébastien,Schneeberger,Sébastien Schneeberger,m,1973,,,Suisse
Yves,Séguin,Yves Séguin,m,1951,Val-d'Or,Abitibi-Témiscamingue,Québec
Michelle,Setlakwe,Michelle Setlakwe,f,1973,Thetford Mines,Chaudière-Appalaches,Québec
Céline,Signori,Céline Signori,f,1938,Saint-Jean-sur-Richelieu,Montérégie,Québec
André,Simard,André Simard,m,1953,Normandin,Saguenay–Lac-Saint-Jean,Québec
Caroline,Simard,Caroline Simard,f,1974,Baie-Saint-Paul,Capitale-Nationale,Québec
Jean-François,Simard,Jean-François Simard,m,1966,Québec,Capitale-Nationale,Québec
Serge,Simard,Serge Simard,m,1950,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
