id,prénom,nom,nom_complet,genre,annee_naissance,municipalité,région,lieu,lat,long
28915,Yannick,Gagnon,Yannick Gagnon,m,1979,Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
59836,Monique,Gagnon-Tremblay,Monique Gagnon-Tremblay,f,1940,Plessisville,Centre-du-Québec,Québec,46.23262305,-71.75001921914466
37282,Brigitte,Garceau,Brigitte Garceau,f,1964,Montréal,Montréal,Québec,45.5031824,-73.5698065
88758,Francine,Gaudet,Francine Gaudet,f,1948,Bécancour,Centre-du-Québec,Québec,46.3415746,-72.4335088
48931,François,Gaudreau,François Gaudreau,m,1957,Montréal,Montréal,Québec,45.5031824,-73.5698065
73567,Maryse,Gaudreault,Maryse Gaudreault,f,1959,Neufchâtel,Capitale-Nationale,Québec,46.8442302,-71.3441924
20409,Sylvain,Gaudreault,Sylvain Gaudreault,m,1970,Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
80137,Françoise,Gauthier,Françoise Gauthier,f,1953,Laterrière,Saguenay–Lac-Saint-Jean,Québec,48.3075097,-71.1133582
36417,Henri-François,Gautrin,Henri-François Gautrin,m,1943,Béthune,,France,,
16874,Réal,Gauvin,Réal Gauvin,m,1935,Saint-Adalbert,Chaudière-Appalaches,Québec,46.864416,-69.898453
64711,René,Gauvreau,René Gauvreau,m,1954,Montréal,Montréal,Québec,45.5031824,-73.5698065
18317,François,Gendron,François Gendron,m,1944,Val-Paradis,Nord-du-Québec,Québec,49.154766,-79.291077
23744,Marie-Belle,Gendron,Marie-Belle Gendron,f,1981,Châteauguay,Montérégie,Québec,45.3602416,-73.749364
29578,Serge,Geoffrion,Serge Geoffrion,m,1955,Montréal,Montréal,Québec,45.5031824,-73.5698065
66329,Ruba,Ghazal,Ruba Ghazal,f,1977,,,Liban,,
99765,Clément,Gignac,Clément Gignac,m,1955,Saint-Gilbert,Capitale-Nationale,Québec,46.715621,-71.995125
31371,Pierre,Giguère,Pierre Giguère,m,1964,Shawinigan,Mauricie,Québec,46.5396581,-72.7518637
68250,Pierre,Gingras,Pierre Gingras,m,1952,Shawinigan-Sud,Mauricie,Québec,46.5184139,-72.7480689
42018,Eric,Girard,Eric Girard,m,1966,Sept-Îles,Côte-Nord,Québec,50.2109579,-66.3790642
57055,Éric,Girard,Éric Girard,m,1970,Alma,Saguenay–Lac-Saint-Jean,Québec,48.548887,-71.651459
44878,Jean-Denis,Girard,Jean-Denis Girard,m,1967,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
51369,Nicolas,Girard,Nicolas Girard,m,1972,Montréal,Montréal,Québec,45.5031824,-73.5698065
29921,Nadine,Girault,Nadine Girault,f,1959,,,États-Unis,,
99702,Jean-Claude,Gobé,Jean-Claude Gobé,m,1949,Charleville,,France,,
44661,Johanne,Gonthier,Johanne Gonthier,f,1953,Montréal,Montréal,Québec,45.5031824,-73.5698065
75892,Jean-François,Gosselin,Jean-François Gosselin,m,1975,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
28628,Linda,Goupil,Linda Goupil,f,1961,Saint-Léon-de-Standon,Chaudière-Appalaches,Québec,46.4786359,-70.6179147
47882,Daniel,Goyer,Daniel Goyer,m,1953,Saint-Eustache,Laurentides,Québec,45.5646052,-73.8929714
51254,Etienne,Grandmont,Etienne Grandmont,m,1977,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
99506,Ginette,Grandmont,Ginette Grandmont,f,1945,Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
88176,Marie,Grégoire,Marie Grégoire,f,1965,Berthierville,Lanaudière,Québec,46.0828098,-73.1747099
62224,Agnès,Grondin,Agnès Grondin,f,1967,Lachute,Laurentides,Québec,45.6560478,-74.3401388
52460,Janvier,Grondin,Janvier Grondin,m,1947,Saint-Jules,Chaudière-Appalaches,Québec,46.223315,-70.947647
38811,Geneviève,Guilbault,Geneviève Guilbault,f,1982,Greenfield Park,Montérégie,Québec,45.4926624,-73.4870499
58039,Nancy,Guillemette,Nancy Guillemette,f,1968,Roberval,Saguenay–Lac-Saint-Jean,Québec,48.514785,-72.224808
28838,Jean,Habel,Jean Habel,m,1988,Montréal,Montréal,Québec,45.5031824,-73.5698065
19463,Sam,Hamad,Sam Hamad,m,1958,Damas,,Syrie,,
73700,France,Hamel,France Hamel,f,1952,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
57003,Guy,Hardy,Guy Hardy,m,1950,Windsor,Estrie,Québec,45.5697799,-72.0034954
