discourse,speaker,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,following_following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end
27263_f3_int4_20221201_CH_160010,27263,ɜ,0.09999999999999964,14.98,15.08,1,o,n,e,ɜ,14.98,15.08,aînés,ɜ.n.e,14.98,15.43
ANQ096-7,10162,ɜ,0.09977324263039122,60.76439909297052,60.86417233560091,6,j,ʁ,z,n.j.ɜ.ʁ,60.634693877551015,60.924036281179134,dernières,d.ɜ.ʁ.n.j.ɜ.ʁ,60.38526077097506,60.924036281179134
ANQ031-9,46224,ɜ,0.2594104308390044,30.64285714285714,30.902267573696143,2,m,m,ʒ,m.ɜ.m,30.57301587301587,31.021995464852605,même,m.ɜ.m,30.57301587301587,31.021995464852605
30777_f1_int2_20221206_CH_193811,30777,ɜ,0.1700000000000017,56.21,56.38,7,l,ʒ,<SIL>,l.ɜ.ʒ,56.15,56.54,privilège,p.ʁ.i.v.i.l.ɜ.ʒ,55.85,56.54
ANQ027-1,33483,ɜ,0.0698412698412767,69.25510204081633,69.3249433106576,2,f,ʁ,ɑ̃,f.ɜ.ʁ,69.17528344671202,69.38480725623583,faire,f.ɜ.ʁ,69.17528344671202,69.38480725623583
ANQ069-2,95075,ɜ,0.08979591836734713,5.160770975056689,5.250566893424036,5,j,ʁ,ʁ,v.j.ɜ.ʁ,5.0410430839002265,5.310430839002267,rivière,ʁ.i.v.j.ɜ.ʁ,4.901360544217687,5.310430839002267
ANQ083-1,77650,ɜ,0.08979591836735779,72.50770975056689,72.59750566893425,2,f,ʁ,d,f.ɜ.ʁ,72.40793650793651,72.68730158730159,faire,f.ɜ.ʁ,72.40793650793651,72.68730158730159
ANQ074-2,98588,ɜ,0.05986394557822905,20.994784580498862,21.054648526077095,7,t,ʁ,d,s.t.ɜ.ʁ,20.855102040816327,21.124489795918365,ministère,m.i.n.i.s.t.ɜ.ʁ,20.73537414965986,21.124489795918365
ANQ062-5,69953,ɜ,0.09977324263038412,47.30498866213152,47.404761904761905,4,v,z,p,v.ɜ.z,47.255102040816325,47.494557823129256,mauvaise,m.o.v.ɜ.z,47.12539682539683,47.494557823129256
ANQ062-6,69953,ɜ,0.0698412698412696,8.692743764172334,8.762585034013604,7,t,ʁ,ʒ,t.ɜ.ʁ,8.652834467120181,8.812471655328798,secrétaire,s.ə.k.ʁ.e.t.ɜ.ʁ,8.363492063492062,8.812471655328798
20189_f8_int8_2021_03_31_CH_0-1626,20189,ɜ,0.13000000000000078,13.59,13.72,1,ɛ̃,t,ʁ,ɜ.t.ʁ,13.59,13.82,être,ɜ.t.ʁ,13.59,13.82
ANQ069-1,95075,ɜ,0.22947845804988276,49.709523809523816,49.9390022675737,8,t,ʁ,sp,t.ɜ.ʁ,49.609750566893425,50.03877551020408,minoritaire,m.i.n.o.ʁ.i.t.ɜ.ʁ,49.25056689342403,50.03877551020408
ANQ096-9,10162,ɜ,0.07981859410430658,21.922675736961452,22.00249433106576,1,d,g,z,ɜ.g,21.922675736961452,22.06235827664399,exemplaire,ɜ.g.z.ɑ̃.p.l.ɜ.ʁ,21.922675736961452,22.60113378684807
94076_f6_int7_2021_03_31_CH_0-1641,94076,ɜ,0.09000000000000341,49.36,49.45,2,m,m,p,m.ɜ.m,49.33,49.48,même,m.ɜ.m,49.33,49.48
ANQ027-1,33483,ɜ,0.05986394557822194,38.2655328798186,38.32539682539682,2,f,ʁ,ʁ,f.ɜ.ʁ,38.18571428571428,38.38526077097506,faire,f.ɜ.ʁ,38.18571428571428,38.38526077097506
20923_f7_int11_2006_03_03_assnat,20923,ɜ,0.19999999999999576,47.59,47.79,2,s,z,<SIL>,s.ɜ.z,47.49,47.97,seize,s.ɜ.z,47.49,47.97
ANQ069-8,95075,ɜ,0.10975056689342289,13.20249433106576,13.312244897959182,6,l,m,sp,b.l.ɜ.m,13.112698412698412,13.39206349206349,problèmes,p.ʁ.o.b.l.ɜ.m,12.903174603174602,13.39206349206349
ANQ096-3,10162,ɜ,0.17959183673469423,62.789795918367346,62.96938775510204,6,l,ʁ,sp,l.ɜ.ʁ,62.72993197278912,62.99931972789116,similaire,s.i.m.i.l.ɜ.ʁ,62.40068027210884,62.99931972789116
38811_f8_int9_2018_03_21_assnat,38811,ɜ,0.15000000000000036,4.56,4.71,3,v,ʁ,p,v.ɜ.ʁ,4.52,4.87,ouvert,u.v.ɜ.ʁ,4.42,4.87
